"Default Config","Cấu hình mặc định"
"Save Config","Lưu Config"
"[GLOBAL]","[Toàn hệ thống]"
"[WEBSITE]","[WEBSITE]"
"[STORE VIEW]","[Chế độ xem cửa hàng]"
"Use system value","Sử dụng giá trị hệ thống"
"Use Default","Sử dụng mặc định"
"Use Website","Sử dụng Website"
"Add","Thêm"
"Delete File","Xoá tập tin"
"Search String","Chuỗi tìm kiếm"
"Design Theme","Thiết kế chủ đề"
"Add \Exception","Thêm\Bớt"
"-- No Theme --","--Không có chủ đề--"
"Enable","Cho phép"
"Disable","Vô hiệu hóa"
"Configuration","Cấu hình"
"System","Hệ thống"
"You saved the configuration.","Bạn đã lưu lại cấu hình."
"Something went wrong while saving this configuration:","Một cái gì đó đã đi sai trong khi lưu điều kiện này:"
"Page not found.","Không tìm thấy trang."
"Please specify the admin custom URL.","Xin vui lòng ghi rõ quản trị viên tuỳ chỉnh URL."
"Invalid %1. %2","Không hợp lện %1. %2"
"Value must be a URL or one of placeholders: %1","Giá trị phải là một URL hoặc một trong các phần giữ chỗ: %1"
"Specify a URL or path that starts with placeholder(s): %1, and ends with ""/"".","Chỉ định một URL hoặc đường dẫn bắt đầu với phần giữ chỗ: %1, và kết thúc bằng ""/""."
"%1 An empty value is allowed as well.","%1 một giá trị rỗng cũng được cho phép."
"Specify a fully qualified URL.","Chỉ định một URL đầy đủ."
"Selected allowed currency ""%1"" is not available in installed currencies.","Lựa chọn tiền tệ được cho phép ""%1"" không có sẵn trong đơn vị tiền tệ được cài đặt."
"Default display currency ""%1"" is not available in allowed currencies.","Tiền tệ Hiển thị mặc định ""%1"" không có sẵn trong đơn vị tiền tệ được cho phép."
"Sorry, we haven't installed the base currency you selected.","Xin lỗi, chúng tôi đã không cài đặt các loại tiền tệ cơ bản bạn đã chọn."
"We can't save the Cron expression.","Chúng tôi không thể lưu các biểu hiện Cron."
"Sorry, we haven't installed the default display currency you selected.","Xin lỗi, chúng tôi đã không cài đặt mặc định Hiển thị đơn vị tiền tệ bạn chọn."
"Sorry, the default display currency you selected is not available in allowed currencies.","Xin lỗi, Hiển thị mặc định tiền tệ bạn chọn không có sẵn trong đơn vị tiền tệ được cho phép."
"Please correct the email address: ""%1"".","Xin vui lòng nhập đúng email này: ""%1""."
"The sender name ""%1"" is not valid. Please use only visible characters and spaces.","Tên người gửi ""%1"" không hợp lệ. Xin vui lòng chỉ sử dụng các ký tự và dấu cách có thể nhìn thấy."
"Maximum sender name length is 255. Please correct your settings.","Độ dài tên người gửi tối đa là 255. Xin vui lòng sửa các cài đặt của bạn."
"%1","%1"
"The file you're uploading exceeds the server size limit of %1 kilobytes.","Các tập tin bạn tải lên vượt quá giới hạn kích thước của máy chủ của %1 kilobyte."
"The base directory to upload file is not specified.","Thư mục cơ bản để tải lên tập tin không được chỉ định."
"The specified image adapter cannot be used because of: %1","Bộ chuyển đổi hình ảnh được chỉ định không thể được sử dụng vì: %1"
"Default scope","Phạm vi mặc định"
"Base currency","Tiền tệ cơ sở"
"Display default currency","Hiển thị tiền tệ mặc định"
"website(%1) scope","phạm vi trang web (%1)"
"store(%1) scope","phạm vi cửa hàng (%1)"
"Currency ""%1"" is used as %2 in %3.","Đơn vị tiền tệ ""%1"" được sử dụng như là %2 ở %3."
"Please correct the timezone.","Vui lòng sửa lại khu vực thời gian."
"The file ""%1"" does not exist","Các tập tin ""%1"" không tồn tại"
"Always (during development)","Luôn luôn (trong quá trình phát triển)"
"Only Once (version upgrade)","Chỉ một lần (Phiên bản nâng cấp)"
"Never (production)","Không bao giờ (sản xuất)"
"Bcc","Bcc"
"Separate Email","Email riêng biệt"
"%1 (Default)","%1 (mặc định)"
"title","tiêu đề"
"No","Không"
"Optional","Tùy chọn"
"Required","Bắt buộc"
"Website","Trang web"
"Store","Cửa hàng"
"Store View","Cửa hàng"
"HTTP (unsecure)","HTTP (không đảm bảo)"
"HTTPS (SSL)","HTTPS (SSL)"
"Yes (302 Found)","Có (302 tìm thấy)"
"Yes (301 Moved Permanently)","Có (301 di chuyển vĩnh viễn)"
"Yes","Có"
"Specified","Quy định"
"Config form fieldset clone model required to be able to clone fields","Cấu hình dạng mẫu bộ trường vô tính cần thiết để có thể sao chép các trường vô tính"
"Invalid XML in file %1:\n%2","XML không hợp lệ trong tập tin %1:\n%2"
".","."
"'There is no defined type ' .","'Đó là kiểu không được xác định '."
"'Object is not instance of ' .","' Đối tượng không phải là trường hợp của'."
"some_label","some_label"
"some_comment","some_comment"
"some prefix","một số tiền tố"
"element label","nhãn hiệu nguyên tố"
"element hint","yếu tố gợi ý"
"element comment","nguyên tố bình luận"
"element tooltip","yếu tố tooltip"
"test","thử nghiệm"
"test2","test2"
"Add after","Thêm sau"
"Delete","Xóa"
"Current Configuration Scope:","Phạm vi cấu hình hiện tại:"
"Stores","Cửa hàng"
"Group Label","Nhãn hiệu nhóm"
"Some Label","Một số nhãn hiệu"
"Tab Label","Tab nhãn hiệu"
"Allow everything","Allow everything"
"Magento Admin","Magento Admin"
"Dashboard","Bảng điều khiển"
"Manage Stores","Quản lý cửa hàng"
"Field 2","Trường 2"
"Field 3","Trường 3"
"Field 3.1","Trường 3.1"
"Field 3.1.1","Trường 3.1.1"
"Field 4","Trường 4"
"Advanced Section","Phần Nâng cao"
"Advanced Admin Section","Phần quản trị nâng cao"
"Design Section","Phần Thiết kế"
"General Section","Phần Tổng hợp"
"System Section","Phần Hệ thống"
"Currency Setup Section","Phần thiết lập tiền tệ"
"Developer Section","Phần Nhà phát triển"
"Web Section","Phần web"
"Store Email Addresses Section","Phần địa chỉ Email Cửa hàng"
"Email to a Friend","Email cho bạn bè"
